name,transect,bg
bik4,26,0.2
bik4,26,0.5
bik4,26,0.6
bik4,26,0.1
bik4,26,0.4
bik4,26,0.2
bik4,26,0.8
bik4,26,0.5
bik4,26,0.8
bik4,26,2.4
bik4,27,0.1
bik4,27,0.2
bik4,27,0.8
bik4,27,0.8
bik4,27,1.4
bik4,27,0.2
bik4,27,3.6
bik4,27,2.7
bik4,27,0.4
bik4,27,0.3
bik4,27,2.8
bik4,27,1.4
bik4,27,4.5
bik4,27,1.4
bik4,27,0.4
bik4,27,4.3
bik4,27,1.4
bik4,27,1
bik4,27,0.6
bik4,27,0.2
bik4,27,0.1
bik4,27,0.4
bik4,27,0.2
bik4,27,0.1
bik4,27,1.2
bik4,27,0.3
bik4,27,0.7
bik4,27,5.6
bik4,27,0.1
bik4,27,0.1
bik4,27,0.3
bik4,27,0.5
bik4,27,0.5
bik4,27,3.4
bik4,27,1.6
bik4,27,0.1
bik4,28,1.7
bik4,28,8
bik4,28,0.2
bik4,28,0.2
bik4,28,1.6
bik4,28,0.2
bik4,28,0.1
bik4,28,0.1
bik4,28,0.3
bik4,28,0.4
bik4,28,1
bik4,28,0.2
bik4,28,0.3
bik4,28,0.1
bik4,28,0.2
bik4,28,0.2
bik4,28,0.5
bik4,28,3.8
bik4,28,0.2
bik4,28,0.1
bik4,28,0.1
bik4,28,2.1
bik4,28,1.3
bik4,28,1.9
bik4,28,1.3
bik4,28,2.4
bik4,28,0.9
bik4,28,1.8
bik4,28,2.5
bik4,28,3.5
bik4,28,1
bik4,28,1.5
bik4,28,0.2
bik4,28,0.2
bik4,28,0.8
bik4,28,1.5
