Seed,Nest,Ini,Species,Speciesd,Day,Mon,Status
14,1WH01,20,AM,AM,99,9,1
15,1WH01,20,AM,AM,99,9,1
16,1WH01,20,AM,AM,102,10,1
17,1WH01,20,AM,AM,105,11,1
18,1WH01,20,AM,AM,105,11,1
19,1WH01,20,AM,AM,108,12,1
20,1WH01,20,AM,AM,108,12,1
1,2WH02/GH01,20,AM,AM,79,2,1
2,2WH02/GH01,20,AM,AM,81,3,1
3,2WH02/GH01,20,AM,AM,81,3,1
4,2WH02/GH01,20,AM,AM,87,5,1
5,2WH02/GH01,20,AM,AM,87,5,1
6,2WH02/GH01,20,AM,AM,87,5,1
7,2WH02/GH01,20,AM,AM,87,5,1
8,2WH02/GH01,20,AM,AM,90,6,1
9,2WH02/GH01,20,AM,AM,90,6,1
10,2WH02/GH01,20,AM,AM,90,6,1
11,2WH02/GH01,20,AM,AM,90,6,1
12,2WH02/GH01,20,AM,AM,90,6,1
13,2WH02/GH01,20,AM,AM,90,6,1
14,2WH02/GH01,20,AM,AM,90,6,1
15,2WH02/GH01,20,AM,AM,90,6,1
16,2WH02/GH01,20,AM,AM,90,6,1
17,2WH02/GH01,20,AM,AM,90,6,1
18,2WH02/GH01,20,AM,AM,90,6,1
19,2WH02/GH01,20,AM,AM,90,6,1
20,2WH02/GH01,20,AM,AM,99,9,1
1,4WH02,20,AM,AM,79,2,1
2,4WH02,20,AM,AM,81,3,1
3,4WH02,20,AM,AM,81,3,1
4,4WH02,20,AM,AM,81,3,1
5,4WH02,20,AM,AM,81,3,1
6,4WH02,20,AM,AM,87,5,1
7,4WH02,20,AM,AM,87,5,1
8,4WH02,20,AM,AM,87,5,1
9,4WH02,20,AM,AM,87,5,1
10,4WH02,20,AM,AM,87,5,1
11,4WH02,20,AM,AM,90,6,1
12,4WH02,20,AM,AM,93,7,1
13,4WH02,20,AM,AM,93,7,1
14,4WH02,20,AM,AM,93,7,1
15,4WH02,20,AM,AM,99,9,1
16,4WH02,20,AM,AM,99,9,1
17,4WH02,20,AM,AM,102,10,1
18,4WH02,20,AM,AM,102,10,1
19,4WH02,20,AM,AM,105,11,1
20,4WH02,20,AM,AM,105,11,1
1,33GH14,5,CA,CA,79,2,1
2,33GH14,5,CA,CA,79,2,1
3,33GH14,5,CA,CA,87,5,1
4,33GH14,5,CA,CA,93,7,1
