sp1_name,sp2_name,sp1_inc,sp2_inc,obs_cooccur,exp_cooccur,prob_cooccur,p_lt,p_gt,,,,,,
FS1,FS1.1,29,15,6,4.5,0.047,0.8843,0.27096,,,,,,
FS1,FS1.2,29,18,5,5.4,0.057,0.52378,0.6965,,,,,,
FS1,FS1.3,29,4,1,1.2,0.013,0.64893,0.76927,,,,,,
FS1,FS1.4,29,5,2,1.5,0.016,0.83985,0.47835,,,,,,
FS1,FS2,29,27,8,8.2,0.085,0.57288,0.6219,,,,,,
FS1,FS2.1,29,30,12,9.1,0.094,0.9489,0.12186,,,,,,
FS1,FS3,29,25,7,7.6,0.079,0.49606,0.69838,,,,,,
FS1,FS4,29,10,5,3,0.031,0.96019,0.14148,,,,,,
FS1,FS5,29,35,12,10.6,0.11,0.81365,0.33201,,,,,,
FS1,FS5.1,29,21,1,6.3,0.066,0.00231,0.99983,,,,,,
FS1,FS5.2,29,8,3,2.4,0.025,0.81107,0.45506,,,,,,
FS1,FS6,29,21,8,6.3,0.066,0.87587,0.26332,,,,,,
FS1,ND,29,9,1,2.7,0.028,0.17886,0.96702,,,,,,
FS1,SS1,29,11,3,3.3,0.035,0.56322,0.70703,,,,,,
FS1,SS2,29,11,1,3.3,0.035,0.09612,0.98543,,,,,,
FS1,SS3,29,7,5,2.1,0.022,0.9972,0.02483,,,,,,
FS1,FW1,29,50,21,15.1,0.157,0.99806,0.00765,,,,,,
FS1,FW2,29,5,2,1.5,0.016,0.83985,0.47835,,,,,,
FS1,FW3,29,16,8,4.8,0.05,0.98326,0.05901,,,,,,
FS1,FWND1,29,29,12,8.8,0.091,0.96333,0.09356,,,,,,
FS1,FWND2,29,45,12,13.6,0.142,0.3138,0.82434,,,,,,
FS1,FWND3,29,38,11,11.5,0.12,0.50631,0.66976,,,,,,
FS1,FWND4,29,7,3,2.1,0.022,0.87971,0.35526,,,,,,
FS1,FWND,29,6,2,1.8,0.019,0.74544,0.59024,,,,,,
FS1,T1,29,9,1,2.7,0.028,0.17886,0.96702,,,,,,
FS1,T2,29,49,21,14.8,0.154,0.99874,0.00525,,,,,,
FS1,T3,29,9,4,2.7,0.028,0.90935,0.26756,,,,,,
FS1,TND,29,11,4,3.3,0.035,0.79743,0.43678,,,,,,
FS1,C1,29,5,0,1.5,0.016,0.158,1,,,,,,
FS1,C2,29,8,4,2.4,0.025,0.94836,0.18893,,,,,,
FS1,C3,29,5,0,1.5,0.016,0.158,1,,,,,,
FS1,CND,29,7,4,2.1,0.022,0.97517,0.12029,,,,,,
FS1,GS1,29,12,4,3.6,0.038,0.72854,0.51945,,,,,,
FS1,I1,29,4,2,1.2,0.013,0.91915,0.35107,,,,,,
FS1,I2,29,14,5,4.2,0.044,0.79115,0.42105,,,,,,
FS1,I3,29,8,3,2.4,0.025,0.81107,0.45506,,,,,,
FS1,I4,29,4,1,1.2,0.013,0.64893,0.76927,,,,,,
FS1,O1,29,22,3,6.6,0.069,0.04342,0.98966,,,,,,
FS1,O2,29,4,1,1.2,0.013,0.64893,0.76927,,,,,,
FS1,G1,29,5,0,1.5,0.016,0.158,1,,,,,,
FS1,G2,29,6,1,1.8,0.019,0.40976,0.89235,,,,,,
FS1.1,FS1.2,15,18,4,2.8,0.029,0.88501,0.29694,,,,,,
FS1.1,FS2,15,27,4,4.2,0.044,0.58173,0.66295,,,,,,
FS1.1,FS2.1,15,30,9,4.7,0.049,0.99761,0.01232,,,,,,
FS1.1,FS3,15,25,4,3.9,0.041,0.65896,0.58865,,,,,,
FS1.1,FS4,15,10,2,1.6,0.016,0.81286,0.48655,,,,,,
FS1.1,FS5,15,35,9,5.5,0.057,0.98974,0.04023,,,,,,
FS1.1,FS5.1,15,21,5,3.3,0.034,0.92931,0.19963,,,,,,
FS1.1,FS5.2,15,8,3,1.2,0.013,0.98081,0.1071,,,,,,
FS1.1,FS6,15,21,7,3.3,0.034,0.99641,0.01859,,,,,,
FS1.1,ND,15,9,1,1.4,0.015,0.57333,0.79878,,,,,,
FS1.1,SS1,15,11,1,1.7,0.018,0.45698,0.86252,,,,,,
FS1.1,SS2,15,11,2,1.7,0.018,0.7676,0.54302,,,,,,
FS1.1,SS3,15,7,2,1.1,0.011,0.92587,0.29984,,,,,,
FS1.1,FW1,15,50,10,7.8,0.081,0.93616,0.17148,,,,,,
FS1.1,FW3,15,16,2,2.5,0.026,0.52427,0.76481,,,,,,
FS1.1,FWND1,15,29,4,4.5,0.047,0.50391,0.72941,,,,,,
FS1.1,FWND2,15,45,11,7,0.073,0.99464,0.02475,,,,,,
FS1.1,FWND3,15,38,6,5.9,0.062,0.63107,0.59366,,,,,,
FS1.1,FWND4,15,7,1,1.1,0.011,0.70016,0.70827,,,,,,
FS1.1,T1,15,9,1,1.4,0.015,0.57333,0.79878,,,,,,
FS1.1,T2,15,49,13,7.7,0.08,0.99975,0.00242,,,,,,
FS1.1,T3,15,9,2,1.4,0.015,0.85493,0.42667,,,,,,
FS1.1,TND,15,11,4,1.7,0.018,0.98737,0.06645,,,,,,
FS1.1,C2,15,8,3,1.2,0.013,0.98081,0.1071,,,,,,
FS1.1,CND,15,7,1,1.1,0.011,0.70016,0.70827,,,,,,
FS1.1,GS1,15,12,4,1.9,0.02,0.9804,0.08988,,,,,,
FS1.1,I2,15,14,4,2.2,0.023,0.95951,0.14764,,,,,,
FS1.1,I3,15,8,1,1.2,0.013,0.63591,0.75744,,,,,,
FS1.1,O1,15,22,7,3.4,0.036,0.99481,0.02484,,,,,,
FS1.2,FS2,18,27,8,5.1,0.053,0.97423,0.08097,,,,,,
FS1.2,FS2.1,18,30,8,5.6,0.059,0.9449,0.14539,,,,,,
FS1.2,FS3,18,25,8,4.7,0.049,0.98584,0.05067,,,,,,
