slno,tofro,via,date,total,type
AI0022737,BLR e DEL,,06-Sep-13,5405,Air
AI0022904,BOM h DEL,,08-Sep-13,10054,Air
AI0022905,DEL h BOM,,09-Sep-13,10115,Air
AI0022969,BLR Y DEL,,06-Sep-13,10605,Air
AI0022974,BLR Y BOM,,06-Sep-13,7301,Air
AI0022974,BOM Y BLR,,06-Sep-13,7350,Air
AI0023029,BLR y DEL,,07-Sep-13,10202,Air
AI0023029,DEL y BLR,,07-Sep-13,10203,Air
AI0023205,BLR y BOM,,06-Sep-13,6957,Air
AI0023293,BLR y HYD,,10-Sep-13,5298,Air
AI0023293,HYD y BLR,,10-Sep-13,5299,Air
AI0023295,BLR y HYD,,10-Sep-13,5298,Air
AI0023295,HYD y BLR,,10-Sep-13,5299,Air
AI0023380,DEL y BOM,,11-Sep-13,9966,Air
AI0023380,BOM y DEL,,11-Sep-13,9966,Air
AI0023504,BLR Y BOM,,12-Sep-13,7405,Air
AI0023599,BLR Y BOM,,12-Sep-13,7405,Air
AI0023778,BOM Y BLR,,15-Oct-13,22732,Air
AI0023816,BLR Y BOM,,17-Sep-13,7374,Air
AI0023816,BOM Y BLR,,17-Sep-13,7374,Air
AI0023822,BLR y MAA,,16-Oct-13,5161,Air
AI0023923,DEL y BOM,,15-Sep-13,9966,Air
AI0023923,BOM y DEL,,15-Sep-13,9966,Air
AI0023982,BLR Y BOM,,17-Sep-13,7194,Air
AI0023986,BLR Y BOM,,18-Sep-13,7207,Air
AI0023986,BLR Y BOM,,18-Sep-13,7207,Air
AI0023990,BLR Y BOM,,19-Sep-13,6173,Air
AI0023994,BOM Y BLR,,21-Sep-13,6256,Air
AI0023994,BOM Y BLR,,21-Sep-13,6256,Air
AI0023996,BOM Y BLR,,22-Sep-13,6284,Air
AI0024028,BOM y BLR,,17-Sep-13,7226,Air
AI0024061,BOM v BLR,,21-Sep-13,6552,Air
AI0024079,BLR y AMD,,20-Sep-13,9477,Air
AI0024116,AMD v BLR,BOM,20-Sep-13,10337,Air
AI0024172,BLR Y BOM,,19-Sep-13,7374,Air
AI0024172,BOM Y BLR,,19-Sep-13,7374,Air
AI0024219,BOM w BLR,,13-Sep-13,8037,Air
AI0024434,BLR y DEL,,17-Sep-13,10668,Air
AI0024434,DEL y BLR,,17-Sep-13,10668,Air
AI0024437,BLR y DEL,,17-Sep-13,10668,Air
AI0024437,DEL y BLR,,17-Sep-13,10668,Air
AI0024603,BLR s BOM,,17-Sep-13,7145,Air
AI0024633,BOM y DEL,,16-Sep-13,10079,Air
AI0024636,BOM y BLR,,17-Sep-13,7351,Air
AI0024656,DEL y BLR,,18-Sep-13,10624,Air
AI0024656,DEL y BLR,,18-Sep-13,10624,Air
AI0024674,BOM y BLR,,20-Sep-13,7351,Air
AI0024865,BLR Y BOM,,19-Sep-13,7355,Air
AI0024865,BLR Y BOM,,19-Sep-13,7355,Air
AI0024866,BOM Y BLR,,20-Sep-13,7913,Air
AI0024937,BOM y BLR,,17-Sep-13,7351,Air
AI0024937,BOM y BLR,,17-Sep-13,7351,Air
AI0024938,BOM y BLR,,20-Sep-13,7351,Air
AI0024949,BOM Y BLR,,20-Sep-13,7913,Air
AI0024958,BLR y AMD,,20-Sep-13,9439,Air
AI0024958,AMD y BLR,,20-Sep-13,9439,Air
AI0025267,BOM Y BLR,,20-Sep-13,7447,Air
AI0025293,BLR y DEL,,02-Oct-13,10713,Air
AI0025294,BLR y DEL,,02-Oct-13,10668,Air
AI0025294,DEL y BLR,,02-Oct-13,10668,Air
AI0025315,BLR Y BOM,,23-Sep-13,7405,Air
AI0025315,BOM Y BLR,,23-Sep-13,7447,Air
AI0025613,BOM h BLR,,22-Sep-13,7487,Air
AI0025603,BOM y BLR,,22-Sep-13,7351,Air
AI0025662,BOM y BLR,,23-Sep-13,7237,Air
AI0025667,BOM s BLR,,25-Sep-13,7445,Air
AI0025668,BLR y BOM,,25-Sep-13,7040,Air
AI0025809,BLR Y MAA,,06-Oct-13,5042,Air
AI0025809,MAA Y BLR,,06-Oct-13,4873,Air
AI0025809,BLR Y MAA,,06-Oct-13,5042,Air
AI0025809,MAA Y BLR,,06-Oct-13,4873,Air
AI0026113,BLR y DEL,,01-Oct-13,10713,Air
AI0026113,BLR y DEL,,01-Oct-13,10713,Air
AI0026526,BRU v LHR,,28-Sep-13,13000,Air
AI0026335,BLR y AMD,,29-Sep-13,9439,Air
AI0026335,AMD y BLR,,29-Sep-13,9439,Air
AI0026395,BOM Y GOI,,03-Oct-13,5216,Air
AI0026397,BLR Y BOM,,03-Oct-13,6888,Air
AI0026550,BLR Y DEL,,02-Oct-13,11882,Air
AI0026550,BLR Y DEL,,02-Oct-13,11882,Air
AI0026568,DEL Y BOM,,03-Oct-13,10797,Air
AI0026581,BOM y DEL,,03-Oct-13,10079,Air
AI0026796,BLR s BOM,,30-Sep-13,8682,Air
AI0026797,BLR s BOM,,30-Sep-13,8682,Air
AI0026798,BOM h BLR,,30-Sep-13,7487,Air
AI0026799,BOM h BLR,,30-Sep-13,7487,Air
AI0026875,BLR y BOM,,01-Oct-13,7282,Air
AI0026875,BOM y BLR,,01-Oct-13,7283,Air
AI0026978,BLR y BOM,,01-Oct-13,7216,Air
AI0026978,BLR y BOM,,01-Oct-13,7216,Air
AI0026980,BOM y BLR,,01-Oct-13,7351,Air
AI0026980,BOM y BLR,,01-Oct-13,7351,Air
