CL,SCL,ORD,Fam,GEN,SP,REF,NEWREF,FAMLAB,GENLAB,SPLAB,COD,DISPCAT,DISP,MEGAFAUNA,AREA,HABIT,FRUIT,COLOR,COMPCOLOR,LENG,DIAM,FRFM,PDM,SDM,SEEDS,SEEDM,RY,KJG,KJFR,PCW,LIP,PRO,NSC,ASH,FIB,REFERENCE,,,Growth habit,Fruit type,Color,CompColor,Disperser type category,Disperser type,Area
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,canadensis2,37,22,CAPRIFOL,Sambucus,canad2,SCAN2,Birds,,No,NAmerica,,Berry1,,,,5.1,0.059,0.004,,3.5,,6.8,21.14,0.08,84.0,0.028,0.071,0.126,,,"Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Viburnum,lantana2,0,17,CAPRIFOL,Viburnum,lantan2,VLAN2,Birds,,No,NEurope,,Drupe1,,,8.8,6.4,0.161,0.027,0.032,1.0,0.0320,16.7,16.91,0.46,62.7,0.026,0.017,0.669,0.028,0.260,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,mespiliformis1,61,8,EBENACEA,Diospyro,mespili1,DMES1,Birds,,No,Africa,,Berry1,,,22.5,22.5,,,,,,,,,,,,,,,"Rogers, M.E., F. Maisels, E.A. Williamson, M. Fernández and C.E.G. Tutin (1990)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,polystemon,75,35,EBENACEA,Diospyro,polystem,DPOL,Mixed,,No,Africa,,Berry2,,,,,,,,,,,,,70.0,0.018,0.089,0.195,,0.374,"Rogers, M.E., F. Maisels, E.A. Williamson, M. Fernández and C.E.G. Tutin (1990)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,cf.iturensis,75,35,EBENACEA,Diospyro,cf.iture,DITU,Mixed,,No,Africa,,Berry2,,,,,,,,,,,,,71.4,0.008,0.047,0.247,,0.186,"Rogers, M.E., F. Maisels, E.A. Williamson, M. Fernández and C.E.G. Tutin (1990)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Euclea,natalensis1,36,43,EBENACEA,Euclea,natalens,ENAT,Mixed,,No,Africa,,Drupe1,,,,,,,,,,,15.86,,,0.007,0.023,0.909,0.037,0.024,"Viljoen, S. (1983)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,mespiliformis2,36,43,EBENACEA,Diospyro,mespili2,DMES2,Mixed,,No,Africa,,Berry1,,,,,,,,,,,14.78,,,0.013,0.036,0.817,0.042,0.093,"Viljoen, S. (1983)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,natalensis,36,43,EBENACEA,Diospyro,natalens,DNAT,Mixed,,No,Africa,,Berry1,,,9.9,5.4,0.190,,,,,,11.64,,,0.014,0.039,0.623,0.046,0.278,"Viljoen, S. (1983)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,whyteana,61,8,EBENACEA,Diospyro,whyteana,DWHY,Mixed,,No,Africa,,Drupe1,,,16.0,13.0,,,,,,,,,,,,,,,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,abyssinica,61,8,EBENACEA,Diospyro,abyssini,DABY,Birds,,No,Africa,,Berry1,,,12.0,7.0,,,,,,,,,,,,,,,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
