Name,Type,sw,sl,fw,fl
PN8,C,28.98,18.22,NA,NA
PN8,C,23.82,17.58,NA,NA
PN8,C,21.44,16,NA,NA
PN8,C,NA,NA,34.28,22.96
PN8,C,NA,NA,30.62,20.2
PN8,C,NA,NA,34.82,22.16
PN8,C,NA,NA,34.6,24.34
PN8,C,NA,NA,37,23.38
PN8,C,NA,NA,32.86,22.48
PN8,C,NA,NA,33.62,22.66
PN8,C,NA,NA,31.72,21.64
PN8,C,NA,NA,30.28,21.18
PN8,C,NA,NA,31.98,22.5
PN8,C,NA,NA,31.6,20.42
PN8,C,NA,NA,32.46,21.82
PN6,C,23.22,17.42,NA,NA
PN6,C,24.76,18.12,NA,NA
PN6,C,23.76,17.86,NA,NA
PN6,C,24.06,16.04,NA,NA
PN6,C,24.22,17.82,NA,NA
PN6,C,24.24,18.74,NA,NA
PN6,C,24.6,19.08,NA,NA
PN6,C,20.94,17.04,NA,NA
PN6,C,16.88,15.3,NA,NA
PN6,C,25.62,18.16,NA,NA
PN6,C,22.9,18.24,NA,NA
PN6,C,24.76,18.26,NA,NA
PN6,C,23.84,17.48,NA,NA
PN6,C,20.32,17,NA,NA
PN6,C,21.38,17.36,NA,NA
PN6,C,25.24,17.74,NA,NA
PN6,C,21.24,17.54,NA,NA
PN6,C,24.08,18.78,NA,NA
PN6,C,23.12,17.28,NA,NA
PN6,C,20.8,17.22,NA,NA
PN6,C,20.88,18.1,NA,NA
PN6,C,NA,NA,32.18,22.62
PN6,C,NA,NA,30.26,22.4
PN6,C,NA,NA,31.9,23.14
PN6,C,NA,NA,30.58,21.34
PN6,C,NA,NA,24.84,20.58
PN6,C,NA,NA,32.56,23.16
PN6,C,NA,NA,31.74,23.32
PN6,C,NA,NA,20,18.4
PN6,C,NA,NA,30.34,22.9
PN6,C,NA,NA,34.2,24.02
PN6,C,NA,NA,35.98,23.9
PN6,C,NA,NA,29.44,21.7
FS3,F,25.4,17.52,NA,NA
FS3,F,24.34,17.02,NA,NA
FS3,F,25.64,18.32,NA,NA
FS3,F,26.54,19.04,NA,NA
