Date,Name,Type,Crop,Direction,Class,Pyf,Pys,Bel,Dyso,Ecc,CS,Lpoma,Pha,Pd,Pp,Unid,Poly,Can,Gob,Mal
29-01-2012,BEL2,D,20,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,BEL2,D,20,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,AIL1,E,,Below,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ES2,E,,Below,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29-01-2012,FS1,F,,Below,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0
29-01-2012,FS1,F,,N,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29-01-2012,FS1,F,,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,S,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,S,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29-01-2012,FS1,F,,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,S,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,E,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,E,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,E,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,FS1,F,,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
