Date,Group,Sex,Day,Time,Act,TRee,Part,Rate,Spent
06-01-2012,2,M,7,08:31,Fe,BD,UF,3,14
06-01-2012,2,M,7,08:45,Mo,NA,NA,NA,3
06-01-2012,2,M,7,08:48,Fe,K,SB,3,9
06-01-2012,2,M,7,08:57,Mo,NA,NA,NA,1
06-01-2012,2,M,7,08:58,Re,NA,NA,NA,1
06-01-2012,2,M,7,08:59,Ot,NA,NA,NA,1
06-01-2012,2,F,7,09:15,Fe,K,SB,10,9
06-01-2012,2,F,7,09:24,Re,NA,NA,NA,5
06-01-2012,2,F,7,09:29,Mo,NA,NA,NA,1
06-01-2012,2,F,7,09:30,Re,NA,NA,NA,3
06-01-2012,2,F,7,09:33,Fe,K,SB,NA,6
06-01-2012,2,F,7,09:39,Mo,NA,NA,NA,1
06-01-2012,2,F,7,09:40,Re,NA,NA,NA,2
06-01-2012,2,F,7,09:42,Ot,NA,NA,NA,2
06-01-2012,2,F,7,09:44,Re,NA,NA,NA,4
06-01-2012,2,F,7,09:48,Fe,K,SB,10,9
06-01-2012,2,F,7,09:57,Mo,NA,NA,NA,1
06-01-2012,2,F,7,09:58,Re,NA,NA,NA,4
06-01-2012,2,F,7,10:02,Ot,NA,NA,NA,1
06-01-2012,2,F,7,10:03,Re,NA,NA,NA,1
06-01-2012,2,F,7,10:04,Fe,K,SB,11,11
06-01-2012,2,F,7,10:30,Fe,BD,UF,2,5
06-01-2012,2,F,7,10:35,Mo,NA,NA,NA,1
06-01-2012,2,F,7,10:36,Fe,BD,UF,3,8
06-01-2012,2,F,7,10:44,Re,NA,NA,NA,3
06-01-2012,2,F,7,10:47,Ot,NA,NA,NA,1
06-01-2012,2,F,7,10:48,Fe,BD,UF,3,5
06-01-2012,2,F,7,10:53,Mo,NA,NA,NA,2
06-01-2012,2,F,7,10:55,Re,NA,NA,NA,2
06-01-2012,2,F,7,10:57,Mo,NA,NA,NA,1
06-01-2012,2,F,7,10:58,Fe,BD,UF,3,17
06-01-2012,2,F,7,11:15,Mo,NA,NA,NA,2
06-01-2012,2,F,7,11:17,Re,NA,NA,NA,8
06-01-2012,2,F,7,11:25,Ot,NA,NA,NA,4
06-01-2012,2,F,7,11:29,Re,NA,NA,NA,1
06-01-2012,2,M,7,11:45,Fe,BD,UF,4,8
06-01-2012,2,M,7,11:53,Ot,NA,NA,NA,1
06-01-2012,2,M,7,11:54,Re,NA,NA,NA,1
06-01-2012,2,M,7,11:55,Mo,NA,NA,NA,1
06-01-2012,2,M,7,11:56,Re,NA,NA,NA,2
06-01-2012,2,M,7,11:58,Ot,NA,NA,NA,1
06-01-2012,2,M,7,11:59,Re,NA,NA,NA,3
06-01-2012,2,M,7,12:02,Ot,NA,NA,NA,1
06-01-2012,2,M,7,12:03,Re,NA,NA,NA,8
06-01-2012,2,M,7,12:11,Ot,NA,NA,NA,1
06-01-2012,2,M,7,12:12,Mo,NA,NA,NA,2
06-01-2012,2,M,7,12:14,Re,NA,NA,NA,4
06-01-2012,2,M,7,12:18,Fe,BD,UF,2,7
06-01-2012,2,M,7,12:25,Mo,NA,NA,NA,2
06-01-2012,2,M,7,12:27,Re,NA,NA,NA,10
06-01-2012,2,M,7,12:37,Ot,NA,NA,NA,7
06-01-2012,2,M,7,12:44,Re,NA,NA,NA,1
06-01-2012,2,F,7,12:50,Fe,BK,ML,12,11
06-01-2012,2,F,7,13:01,Mo,NA,NA,NA,1
06-01-2012,2,F,7,13:02,Re,NA,NA,NA,2
06-01-2012,2,F,7,13:04,Fe,BK,ML,11,9
06-01-2012,2,F,7,13:13,Re,NA,NA,NA,1
06-01-2012,2,F,7,13:14,Mo,NA,NA,NA,3
06-01-2012,2,F,7,13:17,Re,NA,NA,NA,9
06-01-2012,2,F,7,13:26,Ot,NA,NA,NA,4
06-01-2012,2,F,7,13:30,Re,NA,NA,NA,2
06-01-2012,2,F,7,13:32,Ot,NA,NA,NA,1
06-01-2012,2,F,7,13:33,Re,NA,NA,NA,2
06-01-2012,2,F,7,13:35,Mo,NA,NA,NA,5
06-01-2012,2,F,7,13:40,Re,NA,NA,NA,1
06-01-2012,2,F,7,13:41,Fe,BD,UF,3,9
06-01-2012,2,F,7,13:50,Fe,BD,UF,3,0
11-01-2012,2,F,8,07:40,Fe,DI,RF,2,26
11-01-2012,2,F,8,08:06,Mo,NA,NA,NA,2
11-01-2012,2,F,8,08:08,Re,NA,NA,NA,32
11-01-2012,2,F,8,08:50,Fe,Panchapa,Fr,3,25
11-01-2012,2,F,8,09:15,Fe,Bloody TRee,Midrib of leaf,3,5
11-01-2012,2,F,8,09:20,Re,NA,NA,NA,30
11-01-2012,2,F,8,10:00,Re,NA,NA,NA,38
11-01-2012,2,F,8,10:38,Fe,BD,UF,NA,22
11-01-2012,2,F,8,11:00,Fe,BD,UF,NA,60
13-01-2012,1,M,9,12:50,Mo,NA,NA,NA,2
13-01-2012,1,M,9,12:52,Re,NA,NA,NA,13
13-01-2012,1,M,9,13:05,Ot,NA,NA,NA,2
13-01-2012,1,M,9,13:07,Mo,NA,NA,NA,2
13-01-2012,1,M,9,13:09,Re,NA,NA,NA,7
13-01-2012,1,M,9,13:16,Ot,NA,NA,NA,1
13-01-2012,1,M,9,13:17,Mo,NA,NA,NA,1
13-01-2012,1,M,9,13:18,Re,NA,NA,NA,5
13-01-2012,1,M,9,13:23,Ot,NA,NA,NA,1
13-01-2012,1,M,9,13:24,Mo,NA,NA,NA,2
13-01-2012,1,M,9,13:26,Re,NA,NA,NA,1
13-01-2012,1,M,9,13:27,Fe,BD,UF,3,15
13-01-2012,1,M,9,13:42,Mo,NA,NA,NA,1
13-01-2012,1,M,9,13:43,Fe,BD,UF,3,7
13-01-2012,1,F,9,14:00,Fe,BD,UF,3,14
13-01-2012,1,F,9,14:14,Re,NA,NA,NA,2
