Individual,Individual from RTR,Sample ID,Method,Buffalo,Canis lupus familiaris,Caracal,Cattle,Chital,Duck,Gazelle,Gyps fulvus,Junlgefowl,Leopard,Mus musculus,Nilgai,Primate,Sambar,Slothbear,Wildpig
Individual 7,NA,141,Metabarcoding,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,142,Metabarcoding,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,143,Metabarcoding,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,144,Metabarcoding,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,145,Metabarcoding,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Individual 14,T108,148,Metabarcoding,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Unknown,NA,149,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Individual 11,NA,150,Metabarcoding,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Unknown,NA,151,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Unknown,NA,152,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Individual 16,T74,153,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Individual 12,T39,154,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,156,Metabarcoding,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
Unknown,NA,157,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,158,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Individual 16,T74,159,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Unknown,NA,160,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,162,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Individual 12,T39,163,Metabarcoding,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
Unknown,NA,165,Metabarcoding,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1
Individual 1,NA,166,Metabarcoding,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Individual 19,NA,168,Metabarcoding,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Individual 8,NA,170,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,171,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Individual 6,NA,173,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Individual 4,T61,175,Metabarcoding,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,176,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,178,Metabarcoding,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0
Individual 3,T62,179,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Unknown,NA,180,Metabarcoding,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Unknown,NA,181,Metabarcoding,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Individual 6,NA,184,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Unknown,NA,188,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,189,Metabarcoding,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
